The HCMV genome (NC_006273.2) has 169 CDS.
sample	experimental_condition	min_tpm	med_tpm	mean_tpm	max_tpm
SRR5660030	condition	0.0	2034.26	5917.15889112426	67345.0
SRR5660030	condition	0.0	2148.01	5917.160504142012	71120.7
SRR5660033	condition	0.0	2118.63	5917.157130177515	137534.0
SRR5660033	condition	0.0	1969.58	5917.159721893491	203459.0
SRR5660044	condition	0.0	2003.11	5917.157177514793	194582.0
SRR5660044	condition	0.0	2103.74	5917.162852071006	199231.0
SRR5660045	condition	0.0	1143.91	5917.159025443787	286961.0
SRR5660045	condition	0.0	893.981	5917.15952662722	468583.0
The HCMV genome (NC_006273.2) has 169 CDS.
sample	experimental_condition	min_tpm	med_tpm	mean_tpm	max_tpm
SRR5660030	condition	0.0	2034.26	5917.15889112426	67345.0
SRR5660030	condition	0.0	2148.01	5917.160504142012	71120.7
SRR5660033	condition	0.0	2118.63	5917.157130177515	137534.0
SRR5660033	condition	0.0	1969.58	5917.159721893491	203459.0
SRR5660044	condition	0.0	2003.11	5917.157177514793	194582.0
SRR5660044	condition	0.0	2103.74	5917.162852071006	199231.0
SRR5660045	condition	0.0	1143.91	5917.159025443787	286961.0
SRR5660045	condition	0.0	893.981	5917.15952662722	468583.0
